,Category,Description,carbs,protein,fat,fiber,calories,goal_tag,diet_type,match_score
2768,coffee,"coffee, brewed, blend of regular and decaffeinated",-1.023188878728261,-1.0723413726913456,-1.0412058928416723,-0.756656900553733,-1.5339371920135263,4,1,0.5572734835616477
2769,coffee,"coffee, turkish",-0.731838114164166,-1.0723413726913456,-1.0375934818339343,-0.756656900553733,-1.339980460011294,4,1,0.5373359487102638
2770,coffee,"coffee, espresso",-0.9479870585084716,-1.0712156072808656,-1.0207355637978226,-0.756656900553733,-1.4727462536189408,4,1,0.5483089934477077
2771,coffee,"coffee, espresso, decaffeinated",-0.9470864379070368,-1.0734671381018257,-1.0207355637978226,-0.756656900553733,-1.4727462536189408,4,1,0.5478586872835157
2772,coffee,"coffee, brewed, flavored",-1.023188878728261,-1.0712156072808656,-1.040001755839093,-0.756656900553733,-1.5329729711660969,4,1,0.5572215940086138
2773,coffee,"coffee, cuban",-0.6701456029658954,-1.0723413726913456,-1.0195314267952431,-0.756656900553733,-1.289321780104019,4,1,0.5295607724637326
2774,coffee,"coffee, macchiato",-0.9007044769331547,-0.9518844737699748,-0.948487343643059,-0.756656900553733,-1.370093818784872,4,1,0.5510727436432644
2775,coffee,"coffee, macchiato, sweetened",-0.7124747712333218,-0.9575133008223754,-0.9508956176482178,-0.756656900553733,-1.2488986753463835,4,1,0.5381887049897093
2776,coffee,"coffee, cafe con leche",-0.769213869123702,-0.8967219686564499,-0.914771507570836,-0.756656900553733,-1.2502337503659018,4,1,0.545061862413239
2777,coffee,"coffee, cafe con leche, decaffeinated",-0.7656113867179637,-0.8944704378354897,-0.9123632335656772,-0.756656900553733,-1.2459318419696763,4,1,0.5447207366370346
2778,coffee,"coffee, latte",-0.8268535876155169,-0.7695104772721987,-0.8485439724289693,-0.756656900553733,-1.2179694373942112,4,1,0.5573435991216401
2779,coffee,"coffee, latte, nonfat",-0.8273038979162343,-0.761630119398838,-1.0303686598184578,-0.756656900553733,-1.3169875013418135,4,1,0.5960951801994958
2780,coffee,"coffee, latte, with non-dairy milk",-0.8200989331047572,-0.942878350486134,-0.9183839185785742,-0.6666116218146458,-1.2979255968964698,4,1,0.545643896288474
2781,coffee,"coffee, latte, flavored",-0.6854561531902836,-0.7796423659665196,-0.8533605204392869,-0.756656900553733,-1.1301511694436783,4,1,0.5472578767892703
2782,coffee,"coffee, latte, nonfat, flavored",-0.6863567737917182,-0.7717620080931589,-1.0303686598184578,-0.756656900553733,-1.2267957666899152,4,1,0.5850496289954418
2783,coffee,"coffee, latte, with non-dairy milk, flavored",-0.6796021192809588,-0.9473814121280544,-0.920792192583733,-0.6666116218146458,-1.2078822039134067,4,1,0.5361001857625575
2784,coffee,"coffee, latte, decaffeinated",-0.8259529670140823,-0.7672589464512384,-0.8473398354263899,-0.756656900553733,-1.2161151665337693,4,1,0.5574278576494011
2785,coffee,"coffee, latte, decaffeinated, nonfat",-0.8268535876155169,-0.7605043539883578,-1.0303686598184578,-0.756656900553733,-1.3163941346664725,4,1,0.5962609966140577
